Distance from Center (cmd=annotatePeaks.pl /public/workspace/3200115955bit/GP_practical_5/result/PeakCalling/Oct_chr19_macs2/Oct4_chr19_peaks.narrowPeak mm10 -size 5000 -hist 25 -d TagDir/Oct4_chr19_td/ TagDir/H3K4me1_chr19_td/ TagDir/H3K4me3_chr19_td/)	TagDir/Oct4_chr19_td/ Coverage	TagDir/Oct4_chr19_td/ + Tags	TagDir/Oct4_chr19_td/ - Tags	TagDir/H3K4me1_chr19_td/ Coverage	TagDir/H3K4me1_chr19_td/ + Tags	TagDir/H3K4me1_chr19_td/ - Tags	TagDir/H3K4me3_chr19_td/ Coverage	TagDir/H3K4me3_chr19_td/ + Tags	TagDir/H3K4me3_chr19_td/ - Tags
-2500	22.5899505337152	0.0704	0.0979478260869565	48.9851601145534	0.211565217391305	0.204513043478261	35.7032279314888	0.145721739130435	0.156130434782609
-2475	23.0939859411611	0.0948869565217391	0.0795826086956522	50.1816367265468	0.232721739130435	0.211565217391305	35.6156126482213	0.183886956521739	0.111026086956522
-2450	23.9187711533455	0.119373913043478	0.0795826086956522	51.0262084526598	0.253878260869566	0.209214492753623	36.6231884057971	0.187356521739131	0.128373913043478
-2425	24.7435563655298	0.137739130434783	0.0734608695652174	52.6801614162978	0.258579710144928	0.232721739130435	38.8135704874835	0.253278260869566	0.156130434782609
-2400	24.8810205675605	0.119373913043478	0.122434782608696	53.8062570511151	0.228020289855073	0.253878260869566	39.0326086956522	0.170008695652174	0.1596
-2375	24.4228065607915	0.0918260869565217	0.122434782608696	54.1581619369955	0.251527536231884	0.211565217391305	40.2592226613966	0.176947826086957	0.149191304347826
-2350	23.9645925540224	0.0826434782608696	0.113252173913043	54.0877809598194	0.256228985507247	0.228020289855073	40.6972990777339	0.166539130434783	0.135313043478261
-2325	24.3769851601145	0.122434782608696	0.0948869565217391	54.8971621973444	0.211565217391305	0.244475362318841	41.2229907773386	0.166539130434783	0.187356521739131
-2300	24.5602707628222	0.0887652173913044	0.119373913043478	54.7915907315803	0.206863768115942	0.197460869565218	41.1353754940711	0.183886956521739	0.197765217391305
-2275	24.2853423587607	0.0918260869565217	0.119373913043478	55.0379241516966	0.232721739130435	0.258579710144928	41.1353754940711	0.1596	0.145721739130435
