Gene,logFC,FDR
Cd207,-1.181012692,0.112443
Cd209a,-2.43326831,0.000670633
Cd209b,-2.717218071,0.144511
Cd209c,-1.06049349,0.574373
Cd209d,-1.711446856,0.0581523
Cd209e,0.764490929,0.322084
Cd209f,-2.60231872,0.0167039
Cd22,-0.165026612,0.696984
Cd226,-1.814263616,0.127603
Cd244,-0.917251949,0.180851
Cd247,-0.859390454,0.0672938
Cd248,-0.222684523,0.685333
Cd24a,0.673670095,0.00526709
Cd27,-1.485143272,0.34732
Cd274,0.688180083,0.0126372
Cd276,1.831344423,0.000670633
Cd28,-1.507638562,0.0129579
Cd2ap,0.414783919,0.0915123
Cd2bp2,-0.081672693,0.831759
Cd300a,0.501869681,0.117773
Cd300c,-0.738380266,1
Cd300e,-2.76229128,0.000670633
Cd300lb,1.08511811,0.000670633
Cd300ld,-0.144598668,0.801451
Cd300lf,1.119737955,0.000670633
Cd300lg,-1.961379634,0.000670633
Cd300lh,-0.27448404,0.657141
Cd302,0.231146978,0.491495
Cd320,0.489509459,0.318544
Cd33,0.624440444,0.048979
Cd34,-0.066805398,0.895212
Cd36,-0.09794147,0.761854
Cd37,-0.078616944,0.879861
Cd38,0.118764427,0.737387
Cd3d,-1.326874675,0.0256543
Cd3e,-1.415037499,0.0293645
Cd3eap,0.564971526,0.206823
Cd3g,-1.374983266,0.0351174
Cd4,-0.516963392,0.458022
Cd40,-1.522948777,0.00861079
Cd40lg,-1.478642655,0.0724407
Cd44,0.575058259,0.00861079
Cd46,-0.568399428,0.557343
Cd47,0.03540134,0.959705
Cd48,-0.124575655,0.801241
Cd5,-0.092272436,0.921245
Cd52,0.27064925,0.531698
Cd53,0.522890533,0.056118
Cd55,-0.134168532,0.709747
Cd59a,0.10900764,0.821843
Cd59b,-0.658825718,0.442631
Cd5l,4.593205104,0.000670633
Cd6,-0.997167424,0.150984
Cd63,0.601696002,0.077049
Cd68,0.840691703,0.00175914
Cd69,-1.516887323,0.0351174
Cd7,-1.066716182,0.141684
Cd70,1.279566383,1
Cd72,0.773005829,0.468479
Cd74,0.166209885,0.549541
Cd79a,-2.265041951,0.000670633
Cd79b,-1.471119613,0.00789347
Cd80,2.103091575,0.000670633
Cd81,0.1776277,0.523759
Cd82,0.127357538,0.693407
Cd83,0.219852543,0.583203
Cd84,0.5577541,0.0372605
Cd86,-0.055368452,0.943882
Cd8a,-2.214479839,0.000670633
Cd8b1,-2.153403751,0.00447825
Cd9,0.379158551,0.15203
Cd93,-0.738327491,0.000670633
Cd94,2.638124823,1
Cd96,-1.319468726,0.0558955
Cd97,-0.859096036,0.00404852
Cd99l2,0.070532494,0.854131
Cda,4.781264291,0.000670633
Cdadc1,-0.21496996,0.509664
Cdan1,-0.433749357,0.479122
Cdc123,0.279168842,0.402009
Cdc14a,-0.252162123,0.440393
Cdc14b,-0.722857158,0.0547501
Cdc16,-0.081664603,0.883386
Cdc20,1.826045243,0.0321105
Cdc23,-0.259817755,0.595379
Cdc25a,0.777854392,0.0285625
Cdc25b,0.326294785,0.586634
Cdc25c,2.969706815,0.000670633
Cdc26,-0.029316427,0.979528
Cdc27,0.178382858,0.536679
Cdc34,0.476572755,0.18975
Cdc37,0.069484971,0.896681
Cdc37l1,-0.239912084,0.611842
Cdc40,-0.075406821,0.880882
Cdc42,0.136343767,0.644843
Cdc42bpa,-0.717043298,0.00488912
Cdc42bpb,-0.209096592,0.429052
Cdc42bpg,-0.598579351,0.0103281
Cdc42ep1,-0.557667066,0.0528969
Cdc42ep2,-0.558338852,0.179312
Cdc42ep3,-0.471439538,0.156547
Cdc42ep4,-0.373976564,0.162674
Cdc42ep5,1.594238554,0.000670633
Cdc42se1,0.373440921,0.136038
Cdc42se2,-0.176880105,0.518935
Cdc45,1.097833718,0.0269578
Cdc5l,0.257558168,0.463581
Cdc6,2.009917752,0.162348
Cdc7,0.185971487,0.778366
Cdc73,0.251246494,0.456778
Cdca2,2.139659602,0.000670633
Cdca3,1.820277262,0.000670633
Cdca4,0.562603072,0.116662
Cdca5,2.220519478,0.000670633
Cdca7,1.040185626,0.00526709
Cdca7l,1.238636801,0.0418251
Cdca8,2.330788376,0.000670633
Cdcp1,1.253425515,0.000670633
Cdcp2,0.344401251,1
Cdcrel-1,-2.183130165,1
Cdgap,-0.774198606,1
Cdh1,0.561361094,0.00932252
Cdh10,-0.55716982,1
Cdh11,-1.256280078,0.000670633
Cdh12,-0.061768457,1
Cdh13,-0.977668814,0.0139091
Cdh15,0.525590244,1
Cdh16,-1.992339738,0.00124178
Cdh17,0.15871096,1
Cdh18,-0.435612594,1
Cdh19,-1.134537359,1
Cdh2,-1.753260011,0.0106618
Cdh20,-0.205246109,1
Cdh22,-1.218198636,0.127272
Cdh23,-0.350060348,1
Cdh24,1.11167157,0.051401
Cdh26,-0.813004129,1
Cdh29,-0.544513825,0.814793
Cdh3,4.655216293,0.000670633
Cdh4,-1.2037595,0.0398736
Cdh5,-0.83214328,0.000670633
Cdh6,2.00816532,0.00175914
Cdh7,0,1
Cdh8,-0.309716369,1
Cdh9,0.27804798,1
Cdhr1,4.182926388,0.000670633
Cdhr2,0.467633197,1
Cdhr3,-1.194775307,0.00447825
Cdhr4,-0.360372737,0.904677
Cdhr5,0.604994388,1
Cdipt,-0.060477708,0.877487
Cdk1,2.464723397,0.000670633
Cdk10,-0.369942467,0.413841
Cdk11b,-0.246889531,0.384919
Cdk12,-0.053819445,0.917984
Cdk13,0.117125984,0.714783
Cdk14,-1.113647257,0.000670633
Cdk15,-0.591736195,1
Cdk16,0.000279172,0.999287
Cdk17,-0.104582808,0.868413
Cdk18,0.537173386,0.0679849
Cdk19,0.253616615,0.353673
Cdk2,0.387833216,0.232898
Cdk20,0.7132199,0.125518
Cdk2ap1,0.112670643,0.824425
Cdk2ap2,0.182398639,0.61542
Cdk3,0.577823807,0.489678
Cdk4,0.330178976,0.275641
Cdk5,0.084720202,0.851537
Cdk5r1,0.765647298,0.198895
Cdk5r2,0.441920189,1
Cdk5rap1,0.271756453,0.620929
Cdk5rap2,-0.106590881,0.829114
Cdk5rap3,0.286959974,0.649952
Cdk6,0.460256888,0.277436
Cdk7,-0.271130806,0.423754
Cdk8,-2.751127324,1
Cdk9,0.152428807,0.645697
Cdkal1,-0.136905843,0.777294
Cdkl1,-2.045571161,0.422801
Cdkl2,-0.583855715,0.0763581
Cdkl3,-0.432984429,0.73843
Cdkl4,-1.210713215,0.0496592
Cdkl5,-2.043117975,0.00124178
Cdkn1a,0.111185313,0.756627
Cdkn1b,0.132030307,0.666154
Cdkn1c,-1.266951097,0.00605
Cdkn2a,1.247670386,0.0129579
Cdkn2aip,0.093954794,0.829659
Cdkn2aipnl,0.073391764,0.875243
Cdkn2b,0.661722286,0.0485713
Cdkn2c,-0.509795824,0.276303
Cdkn2d,-0.019736339,0.978993
Cdkn3,2.39213914,0.00124178
Cdnf,-0.849363873,0.236664
Cdo1,-1.089653997,0.00124178
Cdon,-0.849368032,0.0406431
Cdr1,0,1
Cdr2,-0.663184121,0.0998844
Cdr2l,-1.105274168,0.00124178
Cdrt4,-2.704609246,0.082757
Cds1,0.456839083,0.0965744
Cds2,-0.74517872,0.00124178
Cdsn,3.146829478,0.000670633
Cdt1,0.951246394,0.0142138
Cdv1R,-0.943149382,0.821439
Cdv3,0.026340032,1
Cdx1,0,1
Cdx2,0,1
Cdx4,0.022310384,1
Cdyl,-0.057202188,0.920279
Cdyl2,-0.402875834,0.538406
Ceacam-ps1,0.146551519,1
Ceacam1,1.533605816,0.000670633
Ceacam10,3.070171236,0.000670633
Ceacam11,1.332467345,1
Ceacam12,2.906832887,1
Ceacam13,0,1
Ceacam14,0,1
Ceacam15,0.706345253,1
Ceacam16,-0.308188963,0.777837
Ceacam18,1.032007067,1
Ceacam19,4.303454911,0.00363394
Ceacam2,1.725396971,0.00124178
Ceacam20,0.151010611,1
Ceacam5,0,1
Ceacam9,-0.341344786,1
Cebpa,0.332025734,0.224394
Cebpb,0.607691562,0.269699
Cebpd,0.384804522,0.306372
Cebpe,1.520034259,0.0739993
Cebpg,0.093598277,0.77192
Cebpz,0.003911494,0.992468
Cecr2,-0.553801144,0.16072
Cecr5,-0.25528763,0.527109
Cecr6,-2.391598954,0.00319404
Cel,-0.128121974,1
Cela1,2.56714446,0.000670633
Cela2a,0,1
Cela3b,-1.649468308,1
Celf1,0.262073847,0.35988
Celf2,-0.587667804,0.0277404
Celf3,-0.023661655,1
Celf4,1.928318978,0.000670633
Celf5,-0.2993359,1
Celf6,-0.249361109,1
Celsr1,1.418343554,0.000670633
Celsr2,2.019670218,0.000670633
Celsr3,1.075913781,0.0843217
Cend1,-1.055203097,1
Cenp-a,1.579842888,0.0274773
Cenpa,0.959572522,0.352084
Cenpb,-0.002318388,0.995953
Cenpc1,0.169212202,0.67999
Cenpe,2.527627592,0.000670633
Cenpf,2.4305864,0.000670633
Cenph,2.161229972,0.000670633
Cenpi,1.865572781,0.000670633
Cenpj,-0.383378463,0.392022
Cenpk,2.368726683,0.000670633
Cenpl,0.886029525,0.0785979
Cenpm,2.576654287,0.000670633
Cenpn,1.399193818,0.0142138
Cenpo,0.246528677,0.766425
Cenpp,1.237900117,0.764068
Cenpq,0.924268337,0.0475326
Cenpt,0.618420391,0.373923
Cenpv,0.308863463,0.577504
Cenpw,1.532346001,0.0306295
Centb1,-0.73393886,0.839186
Cep110,-0.132316144,0.727648
Cep120,-0.529032716,0.0765368
Cep135,-0.261512849,0.505299
Cep152,0.068647061,0.935316
Cep164,0.147060317,0.665811
Cep170,-0.610125238,0.0854337
Cep192,0.338590033,0.454893
Cep250,-0.060014082,0.890363
Cep290,-0.061489163,0.935372
Cep350,-0.264218513,0.462239
Cep55,3.006455849,0.000670633
Cep57,-0.009148215,0.986926
Cep57l1,0.254987711,0.706615
Cep63,-0.331135415,0.399657
Cep68,-0.587153354,0.0952173
Cep70,-0.526032288,0.199651
Cep72,0.339328974,0.601182
Cep76,0.147390313,0.788387
Cep78,-0.368735968,0.438356
Cep97,-0.49561908,0.38763
Cept1,0.387074684,0.141362
Cer1,0,1
Cercam,0.051420795,0.950963
Cerk,0.628558568,0.0163947
Cerkl,2.181429561,0.479625
Ces1a,-0.250571707,1
Ces1b,0.099188624,1
Ces1c,0.209578141,1
Ces1d,-0.872191562,0.0027341
Ces1e,-0.561316164,0.309716
Ces1f,-0.835958588,0.173544
Ces1g,-1.579312973,0.0375189
Ces2,1.737508218,0.00488912
Ces2a,0.447478694,1
Ces2b,-0.099654005,1
Ces2c,1.677627082,0.00175914
Ces2e,0.234448593,0.765478
Ces2f,7.396864816,0.0651812
Ces2g,0.879197529,0.00447825
Ces3a,0,1
Ces3b,0,1
Ces4a,0,1
Ces5a,0.281439235,1
Ces7,-0.383378604,1
Cetn1,0,1
Cetn2,-0.090807954,0.840317
Cetn3,-0.044490462,0.935572
Cetn4,-0.724856721,0.352125
Cfb,0.657324685,0.0129579
Cfc1,0,1
Cfd,-3.630213946,0.00526709
Cfdp1,0.014787772,0.974997
Cfh,-0.534949347,0.0403981
Cfhr1,-0.106828886,1
Cfhr2,-0.777363641,0.260599
Cfhrb_4/2,0,1
Cfi,3.857512094,0.000670633
Cfl1,0.165891229,0.575706
Cfl2,-0.268607947,0.366885
Cflar,-0.084878077,0.856704
Cfp,0.277255517,0.777713
Cftr,1.489602803,0.000670633
Cga,0,1
Cggbp1,0.200981844,0.446944
Cgn,-0.333181869,0.24055
Cgnl1,0.333040023,0.19266
Cgref1,1.520768245,0.014541
Cgrrf1,-0.264626371,0.569606
Ch25h,1.815922912,0.000670633
ChaK,-0.574772991,1
Chac1,1.425729382,0.00175914
Chac2,1.325308132,0.0267116
Chad,0.342697658,0.660845
Chadl,-0.384809019,0.840317
Chaf1a,0.938793043,0.0784452
Chaf1b,0.724951562,0.110513
Chat,0,1
Chchd1,0.193720178,0.903147
Chchd10,0.05198944,0.936745
Chchd2,0.342550196,0.34373
Chchd3,0.189081695,0.579319
Chchd4,0.103271008,0.854131
Chchd5,0.182491115,0.75238
Chchd6,-0.544107764,0.270367
Chchd7,-0.665348505,0.267141
Chchd8,0.544580961,0.260293
Chd1,0.119583075,0.768492
Chd1l,-0.183913719,0.655219
Chd2,-0.277773158,0.32365
Chd3,0.170301657,0.650916
Chd4,0.109135158,0.775838
Chd5,-1.492815075,0.0377767
Chd6,-0.139032404,0.863316
Chd7,-0.21976998,0.604183
Chd8,-0.120515658,0.728082
Chd9,0.039490543,0.960161
Chdh,2.188598432,0.00175914
Chek1,1.884347612,0.000670633
Chek2,1.254025623,0.00225688
Cherp,-0.002853038,0.994371
Chfr,0.347683012,0.246696
Chga,-0.494737397,1
Chgb,-1.168799506,1
Chi3l1,0.777547973,0.000670633
Chi3l3,0.268747768,0.295549
Chi3l4,4.196031481,0.000670633
Chia,-0.15967666,0.610315
Chic1,-0.039227551,0.954246
Chic2,0.673254606,0.0702711
Chid1,0.588308264,0.088842
Chit1,7.208318517,0.0708152
Chka,0.195216132,0.76045
Chkb,-0.081283241,0.849825
Chl1,5.755948642,0.000670633
Chm,-0.123363965,0.735022
Chml,0.407796421,0.319521
Chmp1a,0.349105164,0.204214
Chmp1b,0.596668091,0.0507608
Chmp2a,0.20610242,0.5256
Chmp2b,0.514026401,0.0618696
Chmp4b,0.424308846,0.106754
Chmp4c,0.56732999,0.366466
Chmp5,-0.013575811,0.97523
Chmp6,0.246867024,0.497494
Chmp7,-0.153680399,0.638232
Chn1,-1.459979003,0.00175914
Chn2,1.057738986,0.0290933
Chodl,2.195806514,1
Chordc1,0.310652074,0.303534
Chpf,-0.477466979,0.132318
Chpf2,0.125521491,0.720608
Chpt1,-0.271471565,0.497133
Chrac1,0.003271469,0.995275
Chrd,-0.885691968,0.280865
Chrdl1,-3.100324799,0.000670633
Chrdl2,0.630612752,1
Chrm1,-0.091910418,1
Chrm2,-2.776125611,0.0301194
Chrm3,-2.084826225,0.00319404
Chrm4,0.402525662,1
Chrm5,0.093974112,1
Chrna1,-0.194110608,1
Chrna10,-2.082020524,1
Chrna2,0.38604257,1
Chrna3,0.988832266,1
Chrna4,0.545410507,1
Chrna5,3.628451933,0.424588
Chrna6,0,1
Chrna7,0.892234466,0.233781
Chrna9,0.656941147,1
Chrnb1,-0.489732276,0.199757
Chrnb2,-0.005691957,1
Chrnb3,-0.101685841,1
Chrnb4,0.415186448,1
Chrnd,0.153780697,1
Chrne,-2.213380574,1
Chrng,0,1
Chst1,-1.875813866,0.000670633
Chst10,-1.245538673,0.0850797
Chst11,0.319071668,0.301017
Chst12,-0.764310142,0.0448674
Chst13,1.666800845,0.0471262
Chst14,-0.560591755,0.191275
Chst15,-0.642370378,0.0343633
Chst2,-1.886982372,0.000670633
Chst3,-2.028432723,0.000670633
Chst4,0.87573576,0.228873
Chst5,-1.44040579,0.0481717
Chst7,-1.482598615,0.0185323
Chst8,-2.815520315,0.000670633
Chst9,1.327785073,1
Chsy1,-0.058223764,0.890541
Chsy3,-0.303927986,0.556929
Chtf18,0.915789012,0.105505
Chtf8,0.02452276,0.956934
Chuk,0.050164011,0.90951
Churc1,0.080227871,0.907461
Ciao1,-0.071698662,0.862472
Ciapin1,0.151987058,0.925784
Cib1,0.600462847,0.0809216
Cib2,0.523222518,0.25323
Cib3,0.9039726,0.301017
Cib4,-0.552043529,1
Cic,0.007658886,0.984195
Cidea,1.603710276,0.00447825
Cideb,1.100207858,0.341367
Cidec,-3.509575584,0.000670633
Ciita,-0.535907275,0.105828
Cilp,0.299954796,1
Cilp2,-1.128667149,1
Cinp,-0.126906218,0.810087
Cip85,0.846541658,0.910174
Cir1,-0.206034792,0.675545
Cirbp,-0.425597584,0.239744
Cirh1a,0.272301543,0.448911
Cis4,-0.270847516,1
Cisd1,0.472899287,0.179888
Cisd2,0.2606989,0.409597
Cisd3,-0.105821397,0.901216
Cish,0.53172601,0.0902213
Cisk,0.324556974,1
Cit,0.729056465,0.195326
Cited1,2.029686425,0.429052
Cited2,0.760819422,0.00363394
Cited4,2.24849809,0.000670633
Ciz1,-0.234551427,0.430843
Ckap2,2.071232349,0.000670633
Ckap2l,2.130335537,0.000670633
Ckap4,1.022154329,0.000670633
Ckap5,0.142410573,0.741876
Ckb,0.331496241,0.336659
Cklf,-0.043974101,0.967566
Cklfsf2a,-0.02771253,1
Ckm,-4.497180655,0.000670633
Ckmt1,2.392136153,0.000670633
Ckmt2,-5.276383924,0.00225688
Cks1b,1.396436688,0.00447825
Cks2,1.464681975,0.0135948
Clasp1,-0.120334023,0.70612
Clasp2,-0.482759386,0.0925553
ClaspL,-0.170545485,0.793728
Clasrp,0.726131058,0.799053
Clast2,3.659773515,0.303937
Clca1,2.167006809,0.246128
Clca2,5.030525098,0.00861079
Clca3,8.403518189,0.506231
Clca4,9.301435439,0.488556
Clca5,6.57985574,0.000670633
Clca6,0.000526671,1
Clcc1,-0.094176599,0.872383
Clcf1,0.169966066,0.801031
Clcn1,-1.278179855,1
Clcn2,0.260039697,0.721489
Clcn3,0.529165003,0.0338838
Clcn4-2,0.027758706,0.949366
Clcn5,1.129276073,0.00488912
Clcn6,-1.075868977,0.0267116
Clcn7,0.2615114,0.348863
Clcnka,-0.320025476,1
Clcnkb,-0.948067874,1
Cldn1,1.338704175,0.000670633
Cldn10,0.637312314,0.098352
Cldn11,-0.261752742,1
Cldn12,-0.337983996,0.329313
Cldn13,-0.194265098,1
Cldn14,0.366598066,1
Cldn15,-3.567146245,0.000670633
Cldn16,0,1
Cldn17,6.570241288,0.000670633
Cldn18,-0.408281966,0.0945508
Cldn19,-0.067810167,1
Cldn2,6.280222819,0.000670633
Cldn20,-0.152942015,1
Cldn22,0,1
Cldn23,3.355495752,0.000670633
Cldn24,0.536115796,0.650036
Cldn3,0.371690163,0.19835
Cldn4,4.401277711,0.000670633
Cldn5,-0.938752222,0.00175914
Cldn6,2.819358579,0.165145
Cldn7,1.025930217,0.000670633
Cldn8,1.899623921,0.000670633
Cldn9,-0.103921717,1
Cldnd1,0.46563929,0.108284
Cldnd2,-1.180104496,1
Clec10a,-0.708024445,0.226335
Clec11a,-0.185109553,0.797222
Clec12a,0.252682436,0.583203
Clec12b,-5.056114152,0.507719
Clec14a,-1.742677957,0.000670633
Clec16a,-0.049673762,0.929128
Clec18a,0,1
Clec1a,-1.977997877,0.000670633
Clec1b,-2.99053432,0.00363394
Clec2d,-0.022925454,0.967648
Clec2e,-0.554542564,1
Clec2g,5.581860612,0.0331328
Clec2h,-0.468725665,1
Clec2i,-2.073293395,0.0748594
Clec2l,0.309696045,1
Clec3a,-1.577194352,1
Clec3b,-1.453814519,0.00363394
Clec4a1,-1.188180236,0.0418251
Clec4a2,0.65827873,0.190813
Clec4a3,-0.353141573,0.412317
Clec4a4,-0.362880603,0.745288
Clec4b1,-1.07099527,0.225516
Clec4b2,1.969760178,1
Clec4d,2.003070065,0.000670633
Clec4e,1.661785323,0.000670633
Clec4f,-0.415355809,1
Clec4g,-4.003060852,0.16649
Clec4n,0.568388396,0.0935487
Clec5a,2.674448924,0.000670633
Clec7a,0.704766472,0.00488912
Clec9a,-1.667210923,0.0224228
Clg,-0.806641671,0.491272
Clgn,0.409404661,1
Clic1,0.515123531,0.057367
Clic3,-0.747062639,0.0386743
Clic4,-0.402601824,0.0873577
Clic5,-0.770641099,0.000670633
Clic6,1.298821127,0.000670633
Clint1,0.886404497,0.000670633
Clip1,0.025093546,0.95806
Clip2,-0.143915283,0.671947
Clip3,-0.880323992,0.174021
Clip4,1.299506193,0.00124178
Clk1,-0.047710991,0.920745
Clk2,-0.049486817,0.935372
Clk3,-0.023959881,0.959361
Clk4,0.079018948,0.834146
Clmn,1.009006114,0.0027341
Cln3,0.247686144,0.483276
Cln5,0.366080124,0.198656
Cln6,-0.319347461,0.400104
Cln8,0.43098032,0.157511
Clnk,-1.523023591,1
Clns1a,0.247477488,0.461898
Clock,0.336936832,0.214373
Clp1,0.206357873,0.656611
Clpb,0.276078443,0.454399
Clpp,0.006259967,0.990856
Clps,2.889312127,0.406164
Clptm1,0.08450922,0.855279
Clptm1l,0.310224227,0.247018
Clpx,0.207199209,0.502657
Clrn1,0.267590928,1
Clrn2,0,1
Clrn3,0.362784263,1
Clspn,1.865810574,0.000670633
Clstn1,-0.288596118,0.263769
Clstn2,-2.094076932,0.000670633
Clstn3,0.234083246,0.779375
Clta,0.310473558,0.295108
Cltb,0.398116421,0.151929
Cltc,0.185372502,0.483541
Clu,0.954469809,0.000670633
Cluap1,-0.453451682,0.287845
Clvs1,-0.640176265,1
Clvs2,0.189704197,1
Clybl,0.618421684,0.214514
Cma1,-1.403786868,0.146426
Cma2,0.620289829,1
Cmah,-0.608931799,0.117146
Cmas,0.767664029,0.00999745
Cmbl,0.55320554,0.180462
Cmc1,0.440193441,0.533791
Cmklr1,-1.128116489,0.000670633
Cml1,-0.723290253,0.325728
Cml2,-0.542639101,1
Cml3,-2.223676203,0.0148613
Cml5,-1.470035776,0.536602
Cmpk1,0.593078768,0.0288211
Cmpk2,-0.806786094,0.0813956
Cmtm2a,2.337831731,1
Cmtm2b,-0.989144917,1
Cmtm3,-0.066163425,0.88525
Cmtm4,-0.109155511,0.831646
Cmtm5,-1.238511743,1
Cmtm6,0.146681917,0.603084
Cmtm7,0.038974275,0.954356
Cmtm8,-0.176952775,0.67663
Cmya5,-3.286182501,0.000670633
Cnbp,0.130306451,0.660024
Cndp1,-0.311841371,1
Cndp2,0.164605089,0.577435
Cnfn,10.18285366,0.000670633
Cnga1,-2.489225409,1
Cnga2,-0.470611097,0.485661
Cnga3,1.892303325,1
Cnga4,0.319442683,1
Cngb1,-0.088581493,1
Cngb3,-0.497520398,1
Cnih,0.129946166,0.717412
Cnih2,-0.157827452,0.898141
Cnih3,-0.164314868,1
Cnih4,0.065493083,0.880122
Cnksr1,1.108734726,0.00124178
Cnksr2,-0.262917237,1
Cnksr3,0.042145419,0.940005
Cnn1,-1.19562249,0.0321105
Cnn2,-0.290665068,0.291019
Cnn3,-0.230838845,0.421005
Cnnm1,-0.007111058,1
Cnnm2,1.212425276,0.000670633
Cnnm3,-0.239737561,0.612676
Cnnm4,0.821079978,0.0158203
Cno,0.071645293,0.920169
Cnot1,0.023177305,0.95863
Cnot10,-0.076584991,0.921467
Cnot2,0.212423388,0.461186
Cnot3,0.163928252,0.801354
Cnot4,0.084459168,0.849185
Cnot6,0.401543476,0.394022
Cnot6l,0.364757678,0.236563
Cnot7,0.219334917,0.722107
Cnot8,-0.098588735,0.797577
Cnp,-0.140288441,0.682639
Cnpy1,0.868443097,1
Cnpy2,0.26697175,0.456778
Cnpy3,-0.121244236,0.729645
Cnpy4,-0.261169238,0.487959
Cnr1,-0.645934054,1
Cnr2,-0.532515142,0.156438
Cnrip1,-1.211346108,0.580123
Cnst,0.189769206,0.550876
Cnt3,2.303784728,1
Cntd1,0.016293642,0.993486
Cntf,0.449643309,0.93809
Cntfr,-2.157198782,0.000670633
Cntln,-0.836337305,0.0743286
Cntn1,-2.084496535,0.000670633
Cntn2,1.571078971,0.00175914
Cntn3,0.321176449,1
Cntn4,-1.325244535,0.0485713
Cntn5,-0.124831138,1
Cntn6,0.027295134,1
Cntnap1,0.025194479,0.973059
Cntnap2,-2.398803439,0.0027341
Cntnap3,0,1
Cntnap4,-0.078421015,1
Cntnap5a,0,1
Cntnap5b,0,1
Cntnap5c,0,1
Cntrob,0.085002171,0.890269
Coasy,0.279240538,0.432396
Cobl,-0.789115981,0.0148613
Cobll1,-0.309211888,0.28348
Cobra1,-0.156584581,0.603622
Coch,-1.533491542,0.0353615
Cog1,-0.192135096,0.80253
Cog2,0.25773158,0.444052
Cog3,0.031892484,0.942384
Cog4,0.069583575,0.919235
Cog5,-0.162414735,0.823834
Cog6,0.138125927,0.68725
Cog7,-0.14248968,0.682918
Cog8,0.179431951,0.887869
Coil,-0.034503055,0.960401
Col10a1,0.579044525,1
Col11a1,0.932747508,1
Col11a2,-0.013177085,0.989042
Col12a1,-0.843319778,0.00826246
Col13a1,-1.938387963,0.000670633
Col14a1,-0.087604868,0.857818
Col15a1,1.541547501,0.000670633
Col16a1,0.002202266,0.996458
Col17a1,4.047106717,0.000670633
Col18a1,-0.196244522,0.527054
Col19a1,-0.437230609,1
Col1a1,0.292803381,0.23093
Col1a2,-0.030368641,0.940071
Col20a1,-0.158200441,0.895046
Col22a1,-0.342812898,1
Col23a1,-1.607010054,0.000670633
Col24a1,4.105875524,0.000670633
Col25a1,0.678276219,1
Col27a1,-1.351519078,0.0176025
Col28a1,0.224753503,1
Col2a1,-0.066696153,1
Col3a1,0.424475519,0.0662613
Col4a1,0.141824633,0.61449
Col4a2,-0.145232442,0.597414
Col4a3,-1.707116447,0.000670633
Col4a3bp,0.142291367,0.619907
Col4a4,-1.652702955,0.000670633
Col4a5,-1.419031141,0.000670633
Col4a6,-1.521077617,0.00124178
Col5a1,-0.384756896,0.190151
Col5a2,0.419962971,0.0784452
Col5a3,1.244991049,0.00644257
Col6a1,-0.653586017,0.00644257
Col6a2,-0.913167528,0.000670633
Col6a3,-0.413127652,0.106196
Col6a4,-1.81989386,1
Col6a6,-0.650280457,1
Col7a1,1.848466604,0.000670633
Col8a1,0.300581132,0.414182
Col8a2,-1.696867255,0.00225688
Col9a1,0.341912899,1
Col9a2,0.325733091,1
Col9a3,-0.145962564,1
Colec10,-1.310981336,1
Colec11,-2.635631611,0.00447825
Colec12,-0.608936231,0.0204502
Colq,-4.280908339,0.000670633
Commd1,0.242368975,0.783787
Commd10,-0.201202897,0.579488
Commd2,0.188404059,0.618203
Commd3,0.223176537,0.522918
Commd4,0.263770026,0.93483
Commd5,0.183978837,0.729169
Commd6,0.194540049,0.702494
Commd7,-0.011398268,0.98055
Commd8,-0.057705482,0.901173
Commd9,0.129609231,0.800124
Comp,0.480713901,1
Comt,0.124722646,0.796363
Comtd1,0.988767331,0.200969
Copa,0.202454645,0.530318
Copb1,0.287554375,0.262161
Copb2,0.437741905,0.0700615
Cope,0.344296382,0.309609
Cope1,-0.134191664,0.877116
Copg,0.167147893,0.556413
Copg2,0.233218873,0.514771
Cops2,0.248323248,0.362925
Cops3,0.134380908,0.751072
Cops4,0.232691203,0.463381
Cops5,0.264582394,0.402344
Cops6,0.268455141,0.410751
Cops7a,0.149598796,0.639792
Cops7b,0.112679676,0.812998
Cops8,-0.118181681,0.748111
Copz1,0.28598432,0.32198
Copz2,-0.310970348,0.474955
Coq10a,-0.191347377,0.655258
Coq10b,0.353305271,0.265281
Coq2,-0.093650799,0.872902
Coq3,0.072912688,0.914048
Coq4,0.086627213,0.90534
Coq5,-0.09902456,0.825521
Coq6,-0.002135049,0.997256
Coq7,0.225209411,0.646055
Coq9,0.173056796,0.631819
Corin,2.475474566,0.000670633
Coro1a,-0.503056148,0.0970649
Coro1b,0.282653569,0.293103
Coro1c,0.169148122,0.540671
Coro2a,1.036794512,0.000670633
Coro2b,-2.002173166,0.000670633
Coro6,-1.448110338,0.0196118
Coro7,-0.14594933,0.764016
Cort,1.036299355,1
Cotl1,0.809843274,0.00175914
Cox10,0.191195288,0.682956
Cox11,0.416493677,0.464658
Cox15,0.195533545,0.609466
Cox16,0.092215592,0.943397
Cox17,0.12066014,0.830861
Cox18,0.416303801,0.365315
Cox19,0.282745604,0.56072
Cox2,0.233226803,0.435505
Cox4i1,0.277839982,0.373711
Cox4i2,-1.494470463,0.00488912
Cox4nb,0.026529004,0.97014
Cox5a,0.654755124,0.0436925
Cox5b,0.592382301,0.227424
Cox6a1,0.277588677,0.433076
Cox6a2,-2.112130916,0.0773888
Cox6b1,0.336963478,0.794827
Cox6b2,-0.950247227,0.191823
Cox6c,0.195926882,0.678864
Cox7a1,-1.607846138,0.0382138
Cox7a2,0.25341902,0.511695
