naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
EXOG	165	179	261	215	105	127	98	148	6131
EXOSC1	228	230	193	234	152	170	160	183	1142
EXOSC10	2780	2672	2637	3463	1407	1302	1768	1688	5490
EXOSC2	713	785	607	751	238	268	211	363	2185
EXOSC3	354	360	157	257	143	134	275	160	2283
EXOSC4	145	149	96	131	15	9	8	19	892
EXOSC5	85	54	56	100	14	9	8	19	987
EXOSC6	611	535	369	403	132	192	98	202	1699
EXOSC7	843	1076	443	485	265	267	198	353	2267
EXOSC8	927	781	634	887	387	338	555	491	1400
EXOSC9	1040	1075	883	1226	503	396	864	582	3212
EXPH5	3921	3519	3660	4034	757	696	858	854	10181
EXT1	1299	1002	925	1100	1285	934	615	817	3352
EXT2	601	665	578	650	267	191	194	241	10710
EXTL1	2	1	5	5	3	4	1	9	4003
EXTL2	166	134	190	190	409	320	494	443	5728
EXTL3	539	693	693	760	299	246	217	338	6165
EYA1	6	2	6	6	79	61	65	51	15945
EYA2	0	4	4	12	6	3	5	3	5137
EYA3	1705	1568	1420	1769	965	869	915	1075	6008
EYA4	9	6	21	12	8	9	10	13	16951
EYS	16	9	9	12	38	40	39	36	18200
EZH1	100	241	287	252	299	238	274	379	4625
EZH2	1321	1457	1172	1404	742	681	861	879	13287
EZR	6551	5764	4306	4802	2933	2726	3181	3503	6237
F10	0	1	2	6	13	3	2	0	1528
F11	2	1	3	0	9	6	16	12	3263
F11R	8581	10927	9789	9564	1005	928	712	1263	4820
F12	11	18	10	10	0	1	2	0	2037
F13A1	1	0	0	0	5	4	3	6	3848
F13B	4	3	1	1	0	0	0	0	2205
F2	20	18	36	22	22	12	4	12	1996
F2R	418	515	631	569	828	737	687	786	3808
F2RL1	2530	2418	1666	1723	360	297	236	251	2881
F2RL2	30	37	89	72	75	96	53	84	6703
F2RL3	14	26	43	30	21	33	26	41	2729
F3	612	529	544	595	410	212	140	154	4615
F5	30	37	156	144	348	519	643	303	9154
F7	12	13	5	7	93	60	30	35	6167
F8	31	16	23	44	88	93	180	142	11608
F8A1	92	90	116	183	312	315	276	270	5103
F8A2	0	0	0	0	0	0	0	0	3345
F8A3	0	0	0	0	0	0	0	0	3345
F9	0	0	0	0	1	0	0	0	2794
FA2H	161	119	148	188	9	12	14	12	2420
FAAH	36	65	87	65	8	9	7	16	2080
FAAH2	359	231	339	383	141	131	93	111	2001
FABP1	0	0	0	0	0	1	0	0	559
FABP12	0	0	0	0	0	0	0	1	419
FABP2	2	2	4	5	2	4	4	6	2245
FABP3	217	178	147	182	21	17	29	49	1093
FABP4	0	0	0	0	0	0	0	0	834
FABP5	2497	2910	865	1007	473	509	593	426	727
FABP5P3	102	92	27	19	18	18	21	17	853
FABP6	4	4	1	4	4	1	3	6	1967
FABP7	49	36	19	24	6	6	10	12	995
FABP9	0	1	1	0	2	0	1	0	395
FADD	182	187	139	228	80	54	59	54	1851
FADS1	807	773	758	1032	2190	2051	2442	2606	4408
FADS2	391	471	445	458	306	276	273	439	3137
FADS3	229	216	288	259	15	19	18	32	1767
FADS6	28	37	84	50	39	41	26	51	2046
FAF1	1686	1865	805	1030	487	363	391	511	2564
FAF2	1458	1283	1187	1259	727	754	718	833	4504
FAH	55	72	50	74	32	22	18	54	1783
FAHD1	208	195	302	308	107	93	66	113	4963
FAHD2A	151	186	150	152	70	72	39	97	1290
FAHD2B	84	96	66	64	61	96	47	103	1257
FAIM	161	126	192	221	107	104	88	110	4672
FAIM2	6	1	1	1	0	0	0	4	4732
FAIM3	0	0	0	2	0	0	2	1	8623
FAM100A	90	65	82	178	16	18	10	19	1410
FAM100B	265	263	174	262	13	7	5	25	1586
FAM101A	0	0	0	0	0	0	0	0	2147
FAM101B	751	778	550	694	314	304	363	556	3618
FAM102A	726	710	686	825	128	105	50	166	7785
FAM102B	3150	4029	2269	3117	789	642	583	655	5329
FAM103A1	946	968	450	687	168	134	133	148	1568
FAM104A	310	349	243	283	242	206	226	297	5706
FAM104B	106	90	61	63	85	62	90	64	9595
FAM105A	87	164	129	153	118	125	114	152	7040
FAM105B	857	925	758	927	526	523	407	570	7889
FAM106A	114	154	319	181	68	90	62	99	2280
FAM106CP	107	101	187	144	22	28	23	26	1758
FAM107A	8	1	2	1	0	5	3	6	6821
FAM107B	1381	1161	719	1011	353	246	176	284	3780
FAM108A1	11	14	37	40	4	5	3	3	3268
FAM108B1	725	634	468	879	1169	1126	1482	1132	4708
FAM108C1	170	223	158	227	160	147	145	161	2357
FAM109A	46	42	40	35	7	5	6	6	9563
FAM109B	123	144	98	147	38	25	29	71	2329
FAM110A	21	48	47	52	7	14	4	21	5063
FAM110B	67	79	65	81	76	53	58	61	4363
FAM110C	6	2	7	4	48	39	77	93	3961
FAM110D	0	5	3	2	4	2	0	1	1522
FAM111A	13	17	40	26	162	164	192	187	18268
FAM111B	65	54	48	77	271	307	449	238	10295
FAM113A	31	80	119	74	29	35	13	33	1991
FAM113B	56	84	92	89	10	19	9	12	2073
FAM114A1	67	103	231	169	446	330	224	298	7743
FAM114A2	134	168	86	88	107	88	86	102	2866
FAM115A	106	166	133	137	2078	1374	1833	1478	16443
FAM115C	52	70	150	117	183	281	133	240	10797
FAM116A	372	446	652	570	444	486	427	500	4638
FAM116B	1	0	11	7	2	1	0	3	1986
FAM117A	94	130	159	182	119	127	108	157	2353
FAM117B	1487	1416	1088	1510	1367	1239	1139	1261	5765
FAM118A	488	478	424	405	193	190	126	173	6134
FAM118B	229	245	192	169	267	249	242	352	2081
FAM120A	2421	2486	2193	3066	2223	2301	2796	2002	4939
FAM120AOS	308	340	239	282	271	276	303	324	2762
FAM120B	238	295	417	389	428	390	373	404	3228
FAM120C	182	284	294	307	93	140	129	142	9205
FAM122A	138	110	136	155	124	157	140	129	3645
FAM122B	253	409	523	393	402	373	323	386	16345
FAM122C	197	252	469	362	341	311	185	250	13633
FAM123A	0	2	2	2	1	3	1	2	6012
FAM123B	230	402	375	432	228	244	266	268	8441
FAM123C	14	16	47	35	23	36	20	30	24821
FAM124A	280	301	343	370	1024	1263	1271	1575	9687
FAM124B	29	20	23	45	53	44	71	102	5058
FAM125A	30	48	41	37	8	13	5	13	1184
FAM125B	124	121	88	173	77	77	35	65	7492
FAM126A	1429	1552	1063	1338	1543	1166	1251	1606	6140
FAM126B	924	990	1074	1042	393	460	309	411	9321
FAM127A	167	224	314	325	129	143	116	109	1242
FAM127B	215	218	379	491	247	229	189	171	1967
FAM127C	40	53	77	97	18	23	16	28	2032
FAM129A	107	106	131	164	328	286	467	570	6912
FAM129B	72	89	113	132	31	26	20	31	7681
FAM129C	0	0	0	1	4	2	1	1	4698
FAM131A	21	25	22	25	10	15	8	13	4968
FAM131B	17	44	13	16	61	72	57	129	8633
FAM131C	0	0	0	0	0	0	0	0	1694
FAM132A	29	34	45	25	1	4	0	0	1035
FAM133A	1139	984	598	1007	35	13	19	19	13434
FAM133B	7	16	13	13	17	22	5	13	4814
FAM134A	245	322	362	321	127	170	96	186	4605
FAM134B	5	7	6	10	38	46	58	40	6428
FAM134C	488	559	480	535	220	193	114	247	7570
FAM135A	301	252	246	256	753	854	1286	881	17196
FAM135B	0	0	0	1	12	5	13	2	6942
FAM136A	2155	2163	1140	1584	627	542	629	938	1804
FAM138A	0	0	0	0	0	0	0	0	2254
FAM138B	4	3	2	0	2	3	3	2	1127
FAM138C	3	6	15	6	9	6	3	11	1127
FAM138D	5	3	6	3	7	11	7	10	1125
FAM138E	4	3	7	6	4	6	7	8	1127
FAM138F	0	0	0	0	0	0	0	0	2254
FAM13A	41	45	61	72	410	346	380	547	10735
FAM13A-AS1	4	3	14	5	26	31	27	19	3205
FAM13B	501	542	549	548	634	494	597	689	16301
FAM13C	1	1	0	0	19	12	4	6	13405
FAM149A	10	16	10	18	54	42	64	69	5082
FAM149B1	177	176	143	195	340	348	496	413	3118
FAM150A	0	0	2	1	1	2	2	2	1166
FAM150B	3	3	5	3	16	11	16	11	1392
FAM151A	824	705	598	543	0	0	0	1	1973
FAM151B	17	8	14	15	2	7	2	6	1699
FAM153A	0	0	0	2	1	2	2	0	1774
FAM153B	21	32	49	38	60	78	75	69	2073
FAM153C	42	53	206	154	112	150	140	156	1065
FAM154A	0	0	2	0	1	1	5	3	1930
FAM154B	6	4	13	13	7	11	6	6	3127
FAM155A	83	103	102	126	100	110	164	133	3856
FAM155B	23	30	30	49	122	124	73	148	4016
FAM156A	11	31	68	42	11	20	15	14	20962
FAM156B	0	1	2	1	1	0	0	0	3392
FAM157A	56	67	139	71	21	19	17	28	1268
FAM157B	31	28	137	93	27	21	26	41	1271
FAM158A	29	47	38	22	26	40	21	22	829
FAM159A	4	1	1	0	4	6	5	4	695
FAM159B	4	1	3	5	25	18	16	29	964
FAM160A1	447	649	521	584	395	379	373	705	4562
FAM160A2	110	162	161	142	65	51	29	66	6918
FAM160B1	1052	957	789	1049	759	702	1042	692	8639
FAM160B2	269	366	499	358	47	53	15	28	3715
FAM161A	126	235	433	355	480	576	729	779	11169
FAM161B	32	40	73	37	41	47	26	42	3587
FAM162A	275	327	150	117	238	228	215	230	833
FAM162B	15	22	18	20	25	24	48	50	1032
FAM163A	0	0	1	1	0	1	1	3	2904
FAM163B	0	0	0	0	1	0	0	0	1129
FAM165B	68	64	62	50	56	51	20	67	896
FAM166A	1	0	0	0	0	0	0	0	1117
FAM166B	0	4	0	2	1	2	3	2	1954
FAM167A	10	7	4	7	72	53	59	37	4090
FAM167B	0	0	1	0	1	2	2	4	954
FAM168A	113	128	194	257	65	58	45	60	1759
FAM168B	2558	2542	1806	2828	691	586	527	821	5399
FAM169A	998	1218	663	1063	1330	1125	1473	1496	5929
FAM169B	0	2	0	1	1	0	1	1	3291
FAM170A	0	0	0	0	0	0	0	0	2600
FAM170B	0	0	0	0	0	0	0	0	1409
FAM171A1	278	373	250	308	356	299	297	416	3942
FAM171A2	2	2	8	6	1	1	0	3	2626
FAM171B	48	45	48	92	388	376	770	509	3547
FAM172A	81	77	71	66	105	84	86	85	18108
FAM172BP	25	43	89	56	35	49	23	51	2293
FAM173A	16	23	13	17	1	0	0	2	853
FAM173B	137	114	133	173	156	140	211	178	1841
FAM174A	12	19	17	19	13	18	5	10	1233
FAM174B	96	87	81	96	163	124	83	110	2626
FAM175A	307	363	238	315	485	376	832	654	2814
FAM175B	489	515	433	457	348	278	310	359	2983
FAM176A	0	0	0	0	3	3	1	6	3662
FAM176B	14	30	25	21	5	6	3	2	1051
FAM177A1	363	439	432	476	355	311	252	325	6170
FAM177B	0	0	1	0	1	0	3	1	1339
FAM178A	1232	1114	884	1360	622	566	756	760	12686
FAM178B	4	7	2	4	2	0	0	1	4548
FAM179A	7	23	10	11	6	3	2	9	3528
FAM179B	378	429	325	336	450	449	634	517	6223
FAM180A	0	0	0	0	0	0	0	0	1797
FAM180B	8	27	50	29	10	26	33	23	1400
FAM181A	0	0	0	0	0	0	0	0	7976
FAM181A-AS1	0	0	0	0	0	0	0	0	2391
FAM181B	0	1	2	1	0	0	0	0	1860
FAM182A	1	7	6	7	10	3	1	3	5106
FAM182B	7	6	8	2	3	4	0	5	6464
FAM183A	1	1	1	4	0	8	2	3	513
FAM183B	3	5	3	0	4	3	0	1	1645
FAM184A	316	439	390	388	2600	1343	1493	931	7513
FAM184B	45	48	75	52	87	114	69	122	3824
FAM185A	50	66	57	76	72	131	94	98	6159
FAM186A	1	2	2	0	3	2	3	2	7257
FAM186B	6	5	12	5	15	35	27	26	6040
FAM187B	0	0	0	0	0	0	0	0	1177
FAM188A	120	102	86	140	122	120	129	95	2360
FAM188B	0	1	2	0	0	1	0	0	2715
FAM189A1	1	2	1	1	12	7	18	31	4696
FAM189A2	0	3	3	2	67	78	67	104	4508
FAM189B	120	169	156	167	117	100	73	135	6071
FAM18A	60	71	164	111	91	83	50	93	3331
FAM18B1	234	245	148	175	137	122	78	154	1782
FAM18B2	357	425	626	495	383	421	180	459	5829
FAM18B2-CDRT4	0	0	0	0	0	0	0	0	5660
FAM190A	1	0	1	0	38	31	26	36	10112
FAM190B	1899	1516	1189	1526	1245	1114	1618	1226	7665
FAM192A	988	1286	906	989	516	546	486	744	2841
FAM193A	947	997	1027	1145	776	738	816	904	28700
FAM193B	241	306	529	397	112	131	62	133	7542
FAM194A	1	1	1	0	2	2	0	1	2039
FAM194B	0	1	0	1	1	0	0	0	2406
FAM195A	25	22	27	41	2	2	0	6	905
FAM195B	41	57	25	21	7	10	6	17	2140
FAM196A	13	17	18	15	44	47	38	51	4401
FAM196B	19	19	29	30	4	4	1	5	3544
FAM197Y2P	0	0	0	0	0	0	0	0	2315
FAM197Y5	0	0	0	0	0	0	0	0	2315
FAM198A	28	43	41	30	71	105	157	108	3428
FAM198B	23	61	33	42	890	382	59	25	14435
FAM199X	680	884	765	1120	816	766	443	435	7595
FAM19A1	0	0	0	0	2	2	2	0	3734
FAM19A2	0	0	0	0	7	8	2	7	4131
FAM19A3	1	1	0	0	0	3	1	0	2188
FAM19A4	6	4	0	0	9	7	6	9	4494
FAM19A5	14	16	16	15	20	17	13	24	5231
FAM200A	160	103	108	147	221	225	284	192	2486
FAM200B	144	139	104	140	229	207	271	182	4383
FAM201A	1	1	1	0	13	12	4	16	1725
FAM203A	191	192	210	273	36	43	12	48	4798
FAM204A	384	352	256	272	192	152	167	192	5314
FAM205A	0	0	0	0	1	0	0	0	4294
FAM205B	0	0	0	0	1	1	0	0	6126
FAM206A	272	195	136	200	165	131	171	153	1905
FAM207A	104	97	51	59	3	2	1	9	875
FAM208A	1764	1838	1487	2133	1746	1249	1675	1784	15502
FAM208B	3438	2978	3007	3684	1796	1819	2284	2031	8605
FAM209A	1	2	1	2	1	0	1	1	676
FAM209B	2	11	6	6	5	3	2	4	692
FAM20A	67	83	92	64	339	392	571	434	12444
FAM20B	1322	1432	1101	1581	499	443	484	582	5938
FAM20C	6	10	4	11	27	26	16	26	2770
FAM210A	517	509	506	584	625	571	812	603	8619
FAM210B	179	239	249	284	263	253	261	319	3030
FAM211A	59	77	152	84	51	65	49	72	5447
FAM211B	15	16	18	20	12	20	8	18	1236
FAM212A	0	0	1	0	0	1	2	2	1038
FAM212B	18	24	26	35	293	307	319	353	11814
FAM213A	500	478	360	561	379	358	379	292	2032
FAM213B	40	45	44	88	56	75	66	59	21771
FAM214A	123	159	119	187	339	319	581	383	4204
FAM214B	95	150	166	133	43	27	12	36	3019
FAM215A	9	5	9	16	2	1	1	1	779
FAM216A	79	87	53	59	79	70	89	88	1514
FAM216B	0	0	0	2	9	27	3	3	3298
FAM217A	0	0	0	0	0	0	0	0	2263
FAM217B	296	358	436	445	380	355	371	408	14756
FAM21A	19	12	32	40	6	5	3	5	4641
FAM21B	938	1121	1077	1295	477	417	581	532	8594
FAM21C	871	985	947	1102	458	471	611	598	13500
FAM22A	7	7	21	22	38	58	29	49	3281
FAM22D	19	20	37	27	53	95	47	80	5536
FAM22F	9	1	6	12	15	34	11	22	2554
FAM22G	17	44	63	30	32	64	21	61	6696
FAM24A	0	0	0	0	0	0	0	0	593
FAM24B	23	22	8	8	9	20	4	12	2148
FAM24B-CUZD1	0	0	0	0	0	1	0	0	2612
FAM25A	0	0	0	0	0	2	1	0	359
FAM25B	0	0	0	0	0	0	0	0	993
FAM25C	0	0	0	0	0	0	0	0	993
FAM25G	0	0	0	0	0	0	0	0	993
FAM26D	0	0	0	0	0	0	1	1	1308
FAM26E	5	0	6	1	8	11	11	8	3537
FAM26F	0	1	1	0	2	3	3	4	1106
FAM27A	9	19	12	23	3	4	1	7	701
FAM27B	18	15	15	16	5	3	1	4	701
FAM27C	7	13	11	8	5	1	3	2	701
FAM27L	2	4	3	2	0	0	0	0	607
FAM32A	702	714	429	551	113	115	82	151	1445
FAM35A	213	244	148	185	173	184	211	159	3395
FAM35B	51	69	33	44	62	57	65	70	3283
FAM35B2	69	68	44	60	69	65	100	118	3287
FAM3A	84	104	107	89	22	23	7	39	14583
FAM3B	4	4	1	0	20	17	11	11	2609
FAM3C	603	702	457	648	611	498	771	531	5024
FAM3D	0	0	0	0	2	2	0	0	1298
FAM40A	468	614	512	498	168	196	150	225	3241
FAM40B	256	302	532	382	307	335	272	429	7955
FAM41AY1	0	0	0	0	0	0	0	0	4066
FAM41AY2	0	0	0	0	0	0	0	0	4066
FAM41C	19	28	67	55	46	45	67	73	1703
FAM43A	7	6	5	10	18	8	7	14	3144
FAM43B	6	3	5	8	1	1	3	4	2581
FAM45A	0	0	0	0	0	0	0	0	2173
FAM45B	258	241	197	296	349	301	706	330	4814
FAM46A	114	140	95	97	276	95	99	86	5609
FAM46B	685	768	586	843	66	65	50	146	2372
FAM46C	25	15	11	22	26	8	10	17	5718
FAM46D	5	1	3	3	4	5	8	6	6128
FAM47A	1	2	1	4	1	1	0	0	2578
FAM47B	0	0	0	0	0	0	0	0	2121
FAM47C	0	0	2	0	0	0	0	0	3307
FAM47E	6	2	10	6	6	4	6	6	3165
FAM47E-STBD1	0	0	0	0	0	0	0	0	3053
FAM48A	1026	1204	1077	1483	1950	1662	2401	2159	5819
FAM48B1	4	6	11	18	1	5	1	2	2663
FAM48B2	14	19	35	45	5	2	7	0	2453
FAM49A	10	14	7	14	48	52	65	57	4687
FAM49B	684	619	411	531	433	372	405	522	20077
FAM50A	898	1199	747	650	141	124	83	154	1339
FAM50B	17	15	5	8	6	6	4	6	1616
FAM53A	0	1	1	3	4	1	1	0	5599
FAM53B	100	165	156	215	29	22	15	31	5735
FAM53C	604	550	433	556	304	344	267	380	8803
FAM54A	602	524	384	692	190	178	168	254	3282
FAM54B	341	358	280	321	132	112	133	198	8033
FAM55A	0	1	2	0	1	2	1	2	1882
FAM55B	0	0	0	0	2	1	2	2	1772
FAM55C	104	162	300	193	217	270	217	369	17491
FAM55D	0	0	0	0	1	0	0	1	3850
FAM57A	232	292	304	337	148	181	156	196	2075
FAM57B	0	1	2	4	5	5	10	12	1914
FAM58A	214	276	143	155	16	16	7	15	2506
FAM58BP	0	0	2	0	0	2	0	0	987
FAM59A	91	86	101	141	370	370	548	485	14059
FAM59B	110	150	176	156	101	151	104	138	9306
FAM5B	0	0	0	0	2	2	3	1	3550
FAM5C	0	0	0	0	5	0	1	0	2876
FAM60A	3189	2828	1919	2889	3463	3209	4400	3983	9226
FAM63A	24	29	41	51	92	77	70	104	11396
FAM63B	2390	2270	2167	2588	1098	951	893	1109	9965
FAM64A	35	94	75	61	72	103	62	137	3032
FAM65A	105	133	245	261	225	143	175	137	16514
FAM65B	25	21	25	28	136	82	102	131	7868
FAM65C	8	12	7	14	33	41	30	39	4259
FAM66A	0	1	0	0	3	3	5	6	770
FAM66B	3	5	4	4	6	2	6	10	1425
FAM66C	23	40	37	24	19	31	32	39	3258
FAM66D	6	11	7	13	7	5	8	6	1065
FAM66E	1	7	3	2	7	7	6	9	1427
FAM69A	110	150	294	182	114	87	146	142	10993
FAM69B	183	281	382	339	115	128	88	115	2329
FAM69C	0	0	0	0	0	0	0	0	2038
FAM70A	3	1	10	7	17	14	12	13	10069
FAM70B	1	2	6	3	1	5	7	0	1022
FAM71A	0	1	2	0	1	0	0	0	2331
FAM71B	0	0	0	0	0	0	0	0	2030
FAM71C	0	1	0	0	5	3	1	2	1865
FAM71D	0	0	0	0	0	3	0	1	1781
FAM71E1	118	121	92	127	11	15	0	0	1220
FAM71E2	0	0	0	0	0	0	1	0	3172
FAM71F1	1	0	1	0	37	24	37	46	1711
FAM71F2	2	1	2	1	0	1	2	0	2297
FAM72A	146	160	92	195	217	178	276	268	1863
FAM72B	136	146	100	186	251	179	275	222	2370
FAM72D	147	163	123	215	242	184	263	200	2389
FAM73A	784	828	1163	1098	601	633	514	679	5247
FAM73B	34	80	113	76	28	36	17	25	3571
FAM74A1	52	88	224	157	84	126	62	117	1788
FAM74A2	0	0	0	0	0	0	0	0	1789
FAM74A3	69	83	220	130	84	144	62	103	1881
FAM74A4	0	0	0	0	0	0	0	0	1858
FAM75A1	0	0	0	0	0	0	0	0	8438
FAM75A2	0	0	0	0	0	0	0	0	8444
FAM75A3	0	0	0	0	3	3	2	5	4219
FAM75A4	0	0	0	0	0	0	0	0	4255
FAM75A5	0	0	0	0	0	0	0	0	12666
FAM75A6	0	1	0	1	1	4	3	0	4210
FAM75A7	0	0	0	0	0	0	0	0	12657
FAM75C1	2	9	5	5	8	14	13	8	3775
FAM75C2	1	4	1	0	3	13	13	20	3757
FAM75D1	4	0	3	6	0	0	0	0	4829
FAM75D3	0	0	0	0	0	1	0	0	4923
FAM75D4	0	0	0	0	0	0	0	0	4919
FAM75D5	0	1	0	0	0	0	0	0	4860
FAM76A	131	162	229	191	90	94	64	119	16532
FAM76B	278	218	152	190	218	210	280	199	3941
FAM78A	59	72	62	72	11	15	9	21	3934
FAM78B	4	5	1	9	11	6	3	12	1479
FAM81A	5	1	1	4	2	4	2	4	3459
FAM81B	1	0	1	1	1	1	1	2	1553
FAM82A1	23	15	23	20	44	57	52	36	7170
FAM82A2	319	301	365	402	136	125	189	140	2238
FAM82B	194	247	279	305	314	319	342	350	3054
FAM83A	14	8	29	25	7	12	7	24	4951
FAM83B	388	388	310	380	243	152	259	167	3161
FAM83C	0	0	1	0	1	1	3	1	3162
FAM83D	633	615	532	654	358	323	464	411	2425
FAM83E	3	2	10	9	7	10	7	9	2006
FAM83F	30	33	9	23	9	6	2	7	2066
FAM83G	34	36	38	38	7	6	1	14	2924
FAM83H	675	799	999	1308	105	143	79	166	5592
FAM84A	1	2	1	0	32	18	19	13	6351
FAM84B	991	812	571	703	590	465	430	602	5479
FAM86A	16	17	22	36	16	23	14	19	4631
FAM86B1	24	45	73	77	146	110	103	159	4597
FAM86B2	11	8	10	13	11	28	10	18	1259
FAM86C1	137	134	173	182	115	108	126	151	6196
FAM86C2P	32	30	80	55	43	48	55	64	1855
FAM86DP	35	68	101	79	87	107	67	103	2498
FAM86EP	86	133	160	135	60	91	54	78	3407
FAM86FP	22	24	45	43	58	76	42	71	2138
FAM86HP	33	38	90	53	48	44	36	65	2111
FAM89A	7	14	8	29	64	41	30	6	1496
FAM89B	85	71	113	130	7	5	5	9	4309
FAM8A1	276	295	229	261	207	161	218	181	4740
FAM90A1	3	8	4	1	1	0	2	1	2509
FAM90A10	0	0	0	0	0	0	0	0	1391
FAM90A10P	0	0	0	0	0	0	0	0	604
FAM90A13	0	0	0	0	0	0	0	0	4173
FAM90A14	0	0	0	0	0	0	0	0	4173
FAM90A18	0	0	0	0	0	0	0	0	2782
FAM90A19	0	0	0	0	0	0	0	0	2782
FAM90A20	0	0	0	0	0	0	0	1	1391
FAM90A25P	1	2	0	0	3	2	1	2	2037
FAM90A27P	0	0	0	0	0	0	0	0	493
FAM90A2P	1	1	1	0	1	0	0	1	785
FAM90A5	0	0	0	0	0	0	0	0	1391
FAM90A7	0	0	0	0	0	0	0	0	3906
FAM90A7P	0	0	0	0	0	0	0	0	3682
FAM90A8	0	0	2	0	0	0	0	0	1391
FAM90A9	0	0	0	0	0	0	0	0	1391
FAM91A1	1005	917	716	1008	734	639	794	715	5300
FAM91A2	2	1	2	1	6	3	3	8	5559
FAM92A1	232	181	187	236	142	127	157	135	1111
FAM92A3	24	23	72	38	29	59	27	60	2454
FAM92B	1	2	3	2	6	12	8	7	1889
FAM95B1	0	2	1	0	18	17	7	7	3076
FAM96A	680	482	340	493	149	126	190	164	2125
FAM96B	237	244	177	249	11	8	10	9	2305
FAM98A	1405	1483	1243	2040	1279	1186	1811	1531	2737
FAM98B	190	149	89	166	297	241	401	241	2626
FAM98C	29	33	44	51	5	4	1	10	1267
FAM99A	0	0	0	0	0	0	0	0	1427
FAM99B	0	0	0	0	0	0	0	0	1063
FAM9A	0	1	0	1	0	1	0	0	3041
FAM9B	0	0	0	1	0	0	0	1	1055
FAM9C	22	26	18	39	7	3	1	2	1247
FAN1	356	655	736	526	395	332	254	378	13296
FANCA	869	1568	1687	1311	268	330	190	487	7062
FANCB	91	98	102	97	117	134	107	126	5876
FANCC	127	123	117	156	68	78	61	90	11793
FANCD2	1351	1633	1351	1341	1305	1424	1659	1600	10219
FANCE	150	174	125	158	24	37	29	36	2545
FANCF	76	103	169	126	159	188	175	197	3308
FANCG	349	523	432	319	106	124	69	172	2617
FANCI	1440	1685	1097	1234	1005	883	1169	1446	9243
FANCL	83	99	88	92	245	311	323	288	3421
FANCM	599	580	513	608	649	685	919	736	7105
FANK1	21	47	48	33	59	34	42	36	1285
FAP	0	3	3	2	0	4	0	0	2754
FAR1	705	832	563	754	956	867	959	988	5263
FAR2	40	43	38	46	321	322	313	235	2083
FARP1	380	458	386	428	1446	1108	924	1078	6217
FARP2	80	134	128	98	96	102	90	136	4018
FARS2	107	95	76	67	28	31	15	37	1834
FARSA	532	504	409	448	42	58	24	79	1840
FARSB	904	910	636	965	505	513	699	632	2216
FAS	10	2	3	1	39	24	38	26	17844
FAS-AS1	0	0	4	0	4	3	4	1	1551
FASLG	0	0	0	1	0	0	0	0	1855
FASN	2003	2188	2314	2600	183	141	107	290	8415
FASTK	43	62	98	56	12	10	1	13	3262
FASTKD1	557	480	366	520	226	273	230	274	2989
FASTKD2	1066	1075	964	944	628	621	805	755	20670
FASTKD3	238	217	216	255	130	140	164	162	3310
FASTKD5	809	627	499	689	212	206	215	268	2861
FAT1	4258	3456	4572	4588	8398	7441	10021	9530	14737
FAT2	12	38	28	16	38	64	44	69	14513
FAT3	74	90	251	177	3127	2621	4830	4870	19022
FAT4	17	27	19	13	729	662	1010	881	16093
FATE1	0	0	0	0	0	0	0	0	1064
FAU	2056	1716	1230	1189	170	144	105	206	570
FAXC	366	252	187	261	129	154	129	177	9754
FBF1	7	17	30	22	12	15	6	12	3833
FBL	4714	5700	2252	3193	1124	1265	1360	2212	1156
FBLIM1	470	545	1243	865	533	757	389	847	7629
FBLL1	23	18	26	12	6	8	3	4	1057
FBLN1	339	432	551	523	587	476	310	530	10327
FBLN2	33	45	26	29	64	59	9	25	13035
FBLN5	41	33	46	65	23	15	24	60	2622
FBLN7	0	0	0	0	8	5	1	0	4445
FBN1	38	76	74	52	400	271	180	257	11629
FBN2	31	34	54	48	1628	774	509	599	10659
FBN3	14	23	29	36	150	167	110	244	8904
FBP1	317	323	146	171	5	9	2	4	3064
FBP2	3	5	6	0	20	26	17	22	1297
FBRS	190	254	407	354	14	6	3	14	2799
FBRSL1	980	831	824	951	317	348	304	380	4530
FBXL12	492	495	432	458	173	178	88	189	1849
FBXL13	202	243	323	260	119	134	120	164	5881
FBXL14	315	260	340	524	25	21	19	22	2109
FBXL15	55	96	70	87	6	6	3	9	2358
FBXL16	54	89	44	79	44	52	42	41	3537
FBXL17	66	59	43	53	70	52	52	59	5191
FBXL18	455	456	632	544	256	322	158	347	8224
FBXL19	108	147	139	141	19	20	12	33	3785
FBXL19-AS1	72	106	197	129	61	68	41	94	3950
FBXL2	15	22	85	44	88	105	63	89	5764
FBXL20	2899	3305	3332	3681	1067	1121	970	1307	20637
FBXL21	4	14	8	12	3	3	3	6	1786
FBXL22	0	0	0	2	1	0	0	3	1517
FBXL3	303	244	170	231	211	176	204	177	3544
FBXL4	63	83	92	87	246	235	242	236	2768
FBXL5	537	581	442	525	728	659	953	829	14165
FBXL6	60	97	132	105	16	23	8	26	3562
FBXL7	25	26	28	26	692	712	1457	813	4558
FBXL8	1	4	5	5	0	0	0	0	1596
FBXO10	174	184	193	198	121	103	82	164	4564
FBXO11	398	381	371	471	578	584	650	540	7853
FBXO15	0	1	2	0	8	3	7	5	3450
FBXO16	13	16	44	37	107	105	202	170	1283
FBXO17	161	182	199	202	140	173	95	207	4378
